timestamp,latitude,longitude,northing,easting,zone_letter,zone_number,elevation
2017-02-23 17:19:02,-24.936196468800002,-51.3905997667,460564.1622800339,7242060.422388315,J,22,883.16
2017-02-23 17:19:03,-24.9361993186,-51.3906013593,460564.002392906,7242060.106369796,J,22,883.16
2017-02-23 17:19:23,-24.9364559725,-51.390599012399996,460564.3210277227,7242031.687944119,J,22,883.18
2017-02-23 17:19:43,-24.9367128778,-51.390597419799995,460564.56358607364,7242003.24146123,J,22,880.68
2017-02-23 17:20:02,-24.9369453918,-51.3905696757,460567.4387068132,7241977.5033980375,J,22,878.91
2017-02-23 17:20:20,-24.9371876288,-51.390540171400005,460570.4946259708,7241950.689223217,J,22,875.59
2017-02-23 17:20:36,-24.9373261817,-51.3906822447,460556.1946616669,7241935.306124251,J,22,873.8
2017-02-23 17:20:53,-24.937333809200002,-51.390753071800006,460549.0462189803,7241934.4409758635,J,22,873.05
2017-02-23 17:21:08,-24.937333473899997,-51.390929426999996,460531.2408755646,7241934.426892731,J,22,871.35
2017-02-23 17:21:28,-24.9373412691,-51.3912213687,460501.7682378924,7241933.478909632,J,22,870.63
2017-02-23 17:21:41,-24.9373185541,-51.3913920242,460484.5312124923,7241935.944511572,J,22,869.86
2017-02-23 17:21:55,-24.937306651799997,-51.3915133104,460472.28207271884,7241937.22717057,J,22,869.13
2017-02-23 17:22:10,-24.9373114295,-51.3916280586,460460.69834546716,7241936.664755909,J,22,869.2
2017-02-23 17:22:28,-24.9373172969,-51.3917757478,460445.78916517744,7241935.972081717,J,22,869.25
2017-02-23 17:22:35,-24.937327271300003,-51.3918808568,460435.1802956483,7241934.837024117,J,22,871.72
2017-02-23 17:22:52,-24.9373421073,-51.392038269,460419.29232611693,7241933.148403091,J,22,874.25
2017-02-23 17:23:12,-24.937342358800002,-51.392264328900005,460396.4688654602,7241933.054690495,J,22,875.77
2017-02-23 17:23:35,-24.9373431131,-51.392525006099994,460370.15052092413,7241932.8951700535,J,22,876.8
2017-02-23 17:23:38,-24.937337078200002,-51.3925391715,460368.7184183608,7241933.5592793,J,22,876.81
2017-02-23 17:23:54,-24.9372442067,-51.3927087374,460351.5689250326,7241943.793414723,J,22,877.68
2017-02-23 17:23:58,-24.9372107629,-51.392720975,460350.32268482225,7241947.49305372,J,22,878.51
2017-02-23 17:24:12,-24.9370924942,-51.392720807299995,460350.301769718,7241960.588916628,J,22,880.06
2017-02-23 17:24:28,-24.936928125100003,-51.3927068934,460351.6539560897,7241978.793456373,J,22,881.73
2017-02-23 17:24:42,-24.9367816094,-51.392705468500004,460351.75093452074,7241995.017456825,J,22,884.16
2017-02-23 17:24:43,-24.9367739819,-51.3926990982,460352.39165731694,7241995.8639033595,J,22,884.16
2017-02-23 17:24:57,-24.9366818648,-51.3925726991,460365.12380147784,7242006.100839658,J,22,884.91
2017-02-23 17:25:12,-24.9365578964,-51.3924960047,460372.8274436699,7242019.850143242,J,22,885.92
2017-02-23 17:25:28,-24.9363957904,-51.39246759,460375.64443720045,7242037.808315743,J,22,886.68
2017-02-23 17:25:42,-24.9362879992,-51.3924050611,460381.92308600195,7242049.762192553,J,22,886.69
2017-02-23 17:25:57,-24.936158079699997,-51.392323672799996,460390.09877958434,7242064.171814799,J,22,886.72
2017-02-23 17:26:12,-24.9360045232,-51.39226181430001,460396.2951401397,7242081.193048999,J,22,886.73
2017-02-23 17:26:26,-24.9359256495,-51.3921514247,460407.4152528498,7242089.958845298,J,22,886.72
2017-02-23 17:26:43,-24.935851302,-51.3920427114,460418.36758031545,7242098.222961076,J,22,886.69
2017-02-23 17:26:58,-24.9356856756,-51.391952941199996,460427.37820573326,7242116.588800796,J,22,886.69
2017-02-23 17:27:00,-24.9356651399,-51.3919373509,460428.94570219406,7242118.8672442585,J,22,884.39
2017-02-23 17:27:14,-24.9355966598,-51.3918142207,460441.3555236938,7242126.485845702,J,22,883.48
2017-02-23 17:27:16,-24.9355994258,-51.391787398599995,460444.0644672676,7242126.1873758845,J,22,883.48
2017-02-23 17:27:37,-24.935632953400003,-51.39148833229999,460474.27002494416,7242122.561904843,J,22,883.49
2017-02-23 17:27:52,-24.935626415500003,-51.3912779465,460495.50927925605,7242123.347016154,J,22,882.69
2017-02-23 17:28:07,-24.935745522399998,-51.391117852200004,460511.7109573246,7242110.204921929,J,22,882.72
2017-02-23 17:28:11,-24.935787851,-51.391112823,460512.23221290193,7242105.519367194,J,22,885.08
2017-02-23 17:28:12,-24.935796400500003,-51.3911078777,460512.73423278634,7242104.574124029,J,22,885.08
2017-02-23 17:28:17,-24.9358429201,-51.39106429180001,460517.149645596,7242099.435705431,J,22,885.95
2017-02-23 17:28:34,-24.935969570700003,-51.390890367299995,460534.7500224394,7242085.462293804,J,22,887.53
2017-02-23 17:28:52,-24.9361025076,-51.390693811700004,460554.6372765091,7242070.799351431,J,22,887.54
2017-02-23 17:29:07,-24.936180459299997,-51.3905823324,460565.91740914516,7242062.200168237,J,22,887.55
2017-02-23 17:29:34,-24.9363868218,-51.3906539138,460558.75600235385,7242039.329019567,J,22,884.58
2017-02-23 17:29:45,-24.9364609178,-51.3907376491,460550.32541526674,7242031.100115511,J,22,884.6
2017-02-23 17:29:59,-24.9365165737,-51.390831777799995,460540.839616989,7242024.910047626,J,22,882.73
2017-02-23 17:30:09,-24.936565607800002,-51.3909007609,460533.8904927346,7242019.460503399,J,22,881.52
2017-02-23 17:30:24,-24.9366174918,-51.3910051994,460523.36260040384,7242013.685088785,J,22,880.65
2017-02-23 17:30:36,-24.936679014899997,-51.3910774514,460516.08743082616,7242006.851687334,J,22,879.9
2017-02-23 17:30:51,-24.9367545359,-51.391147775600004,460509.0113660447,7241998.468864279,J,22,876.78
